Name,School,Position,Drafted By,Age on Draft Day,Height (FIIE),Weight (lbs.),Arm Length (inches),Hand Span (inches),Bench Press (reps),40-yard Dash (seconds),10-yard Split (seconds),20-yard Split (seconds),20-yard Shuttle (seconds),Three-cone Drill (seconds),Vertical Jump (inches),Broad Jump (FFII),RAS,Production,Ranking,
O'Donnell Fortune,South Carolina,CB,,,6006,185,31.50,9.25,,,,,,,,0909,,6.30,219,
Mac McWilliams,UCF,CB,,,5102,191,29.75,8.375,,4.41,1.52,,,,,,8.04,6.30,220,
KeAndre Lambert-Smith,Auburn,WR,,,6006,190,32.50,9.125,,4.37,1.53,,,,34.0,1004,,6.70,221,
Cody Lindenberg,Minnesota,LB,,,6021,236,32.625,9.00,,,,,,,,,,6.10,222,
Jaylin Lane,Virginia Tech,WR,,,5096,191,31.675,9.75,14,4.34,1.50,,4.12,6.75,40.0,1100,9.56,6.40,223,
Robert Longerbeam,Rutgers,CB,,,5110,175,31.50,8.50,,4.39,1.50,,,,,1102,8.78,6.10,224,
Phil Mafah,Clemson,RB,,,6005,234,31.375,9.50,,,,,,,,,,5.50,225,
Theo Wease Jr.,Missouri,WR,,,6030,200,32.125,9.50,,4.56,1.56,,,,31.0,0909,6.35,6.50,226,
Tim Smith,Alabama,DL,,,6043,302,33.00,10.375,,,,,,,,,,5.30,227,
Nazir Stackhouse,Georgia,DL,,,6036,327,32.50,10.25,,5.15,1.80,,,,27.5,0809,6.43,5.20,228,
Carson Vinson,Alabama A&M,OT,,,6071,314,34.50,10.25,,5.12,1.80,,,7.51,28.5,0903,,6.40,229,
Luke Lachey,Iowa,TE,,,6056,251,32.125,10.00,,,,,4.47,7.18,35.0,1000,,6.20,230,
Xavier Truss,Georgia,OG,,,6071,309,33.00,10.50,,5.24,1.82,,,,26.0,0807,7.81,5.40,231,
Corey Kiner,Cinncinnati,RB,,,5085,209,30.50,7.625,19,4.57,1.59,,,,,,5.05,5.80,232,
Kitan Crawford,Nevada,S,,,5105,202,31.00,9.50,18,4.41,1.52,,,,41.5,1008,9.9,6.2,233,
Hollin Pierce,Rutgers,OT,,,6083,341,36.00,9.75,,,,,,,,,,6.00,234,
Chimere Dike,Florida,WR,,,6005,196,32.125,9.125,,4.34,1.51,,4.27,6.82,38.5,1008,9.65,6.00,235,
Donovan Edwards,Michigan,RB,,,5113,205,30.00,10.00,23,4.44,1.51,,,,38.5,,9.68,5.40,236,
Eugene Asante,Auburn,LB,,,6005,223,30.25,8.25,21,4.48,1.52,,,,,,,6.20,237,
Isaac TeSlaa,Arkansas,WR,,,6035,214,31.125,10.00,17,4.43,1.51,,4.05,6.85,39.5,1009,9.97,5.30,238,
Thomas Fidone II,Nebraska,TE,,,6050,243,34.00,10.50,,4.70,1.57,,4.29,7.01,35.5,1006,9.37,6.30,239,
Zeek Biggers,Georgia Tech,DL,,,6054,321,34.75,10.25,,5.14,1.74,,,,34.5,0903,9.54,5.30,240,
Collin Oliver,Oklahoma State,LB,,,6017,240,30.625,9.50,,4.56,1.57,,,,39.0,1006,,6.90,241,
Jake Majors,Texas,C,,,6033,306,30.375,9.75,25,,,,,,,,,5.90,242,
Shaun Dolac,Buffalo,LB,,,6000,223,,,25,4.55,1.58,,4.21,6.94,35.5,1001,9.01,,,
Marcus Yarns,Delaware,RB,,,5107,193,31.125,9.125,,4.45,1.55,,,,37.5,1002,8.95,7.00,243,
Kurtis Rourke,Indiana,QB,,,6042,220,30.25,9.375,,,,,,,,,,6.60,244,
Drew Kendall,Boston College,C,,,6042,308,31.625,9.50,20,,,,4.51,7.56,,,9.09,6.60,245,
CJ Dippre,Alabama,TE,,,6047,256,33.25,9.50,32,4.69,1.56,,,,34.5,1000,9.62,6.30,246,
Dante Trader Jr.,Maryland,S,,,5107,196,31.25,8.75,12,,,,4.32,7.09,31.0,0909,2.13,5.9,247,
Raheim Sanders,South Carolina,RB,,,6000,217,31.50,9.25,,4.46,1.55,,,,36.5,,9.87,7.30,248,
Ahmed Hassanein,Boise State,EDGE,,,6023,267,32.25,9.00,27,4.77,1.70,,,,32.5,0905,6.39,6.90,249,
Eric Gregory,Arkansas,DL,,,6032,319,33.00,9.50,28,5.14,1.76,,4.97,7.68,27.0,0900,6.34,6.00,250,
Arian Smith,Georgia,WR,,,6001,179,31.25,9.00,,4.36,1.51,,4.19,6.82,38.0,1007,9.43,6.20,251,
Efton Chism III,Eastern Washington,WR,,,5101,195,,,16,4.71,1.62,,4.06,6.77,34.5,0910,4.78,,,
Antwane Wells Jr.,Ole Miss,WR,,,6006,201,31.50,8.75,,4.58,1.53,,,,34.0,1004,7.37,6.70,252,
Ja'Corey Brooks,Louisville,WR,,,6020,184,31.625,9.00,,,,,,,,,,6.80,253,
Jason Marshall Jr.,Florida,CB,,,6003,194,30.25,9.25,,4.49,1.55,,,,,1005,9.03,5.60,254,
Isas Waxter,Villanova,CB,,,6012,209,31.625,9.50,,4.56,1.53,,,,,1004,8.01,7.10,255,
Junior Tafuna,Utah,DL,,,6034,308,32.50,10.50,24,5.03,1.80,,,,28.5,,7.45,5.50,256,
Dont'e Thornton Jr.,Tennessee,WR,,,6045,205,32.125,9.50,,4.30,1.51,,,,33.0,1006,9.83,6.20,257,
Jared Harrison-Hunte,Georgia,DL,,,6033,290,33.00,9.125,,4.86,1.69,,,,32.0,0903,9.66,6.80,258,
Jabbar Muhammad,Oregon,CB,,,5091,182,28.50,9.00,13,,,,4.19,7.01,,,2.33,6.40,259,
Garrett Dellinger,LSU,OG,,,,,,,,,,,,,,,,7.00,260,
Gavin Bartholomew,Pittsburgh,TE,,,6045,246,31.375,9.75,,4.70,1.59,,,,,,,6.70,261,
Brant Kuithe,Utah,TE,,,6020,236,31.50,10.50,,,,,,,,,,7.50,262,
Cam Horsley,Boston College,DL,,,6026,312,33.00,9.50,,,,,,,31.5,0900,,5.90,263,
Sam Brown Jr.,Miami,WR,,,6022,200,31.50,9.38,,4.44,1.52,,,,41.5,,9.87,5.80,264,
Eli Cox,Kentucky,OC,,,6042,306,31.00,9.25,,,,,4.58,7.63,32.5,0901,9.95,5.90,265,
Rayuan Lane III,Navy,S,,,5107,200,30.25,9.625,,4.57,1.56,,4.28,7.10,37.0,1004,6.72,6.2,266,
Marques Sigle,Kansas State,S,,,5113,199,30.625,9.25,,4.37,1.50,,,,38.0,1010,9.54,7.1,267,
Ja'Quinden Jackson,Arkansas,RB,,,6014,229,33.00,9.50,,,,,4.36,7.19,32.0,0911,7.25,6.20,268,
Warren Brinson,Georgia,DL,,,6052,315,33.50,10.375,,5.09,1.76,,,,31.0,0907,9.33,6.50,269,
Bru McCoy,Tennessee,WR,,,6024,209,32.125,10.00,,,,,,,,,,5.90,270,
Jay Toia,UCLA,DL,,,6020,345,32.50,10.00,,,,,,,,,,5.20,271,
Jalin Conyers,Texas Tech,TE,,,6034,260,31.50,9.75,,4.74,1.62,,4.27,6.94,35.5,1001,9.24,6.90,272,
Jalen McLeod,Auburn,LB,,,6014,241,32.25,9.625,,,,,,,,,,6.20,273,
Hayden Conner,Texas,OG,,,6060,314,33.25,9.50,,,,,4.88,7.90,,,,5.90,274,
Maxen Hook,Toledo,S,,,6004,202,31.50,9.125,,4.55,1.55,,,,34.5,1004,8.22,6.3,275,
Traeshon Holden,Oregon,WR,,,6021,205,31.50,9.75,,4.57,1.54,,,,32.0,1003,6.43,6.40,276,
Brady Cook,Missouri,QB,,,6021,214,32.50,9.50,,4.59,1.53,,4.17,7.01,37.0,1008,9.68,6.50,277,
R.J. Mickens,Clemson,S,,,6000,199,32.25,8.75,,4.49,1.55,,,,41.5,1001,8.51,6.8,278,
Da'Quan Felton,Virginia Tech,WR,,,6042,213,32.25,9.00,,4.50,1.52,,4.30,7.10,32.5,1002,8.21,6.10,279,
Torricelli Simpkins III,South Carolina,OG,,,6045,312,32.375,10.125,,5.45,1.84,,,,29.0,0902,7.19,6.00,280,
Dominic Lovett,Georgia,WR,,,5100,185,31.375,9.25,,4.40,1.53,,,,33.5,1000,6.77,6.50,281,
Graham Mertz,Florida,QB,,,6033,212,31.25,9.625,,,,,,,,,,5.70,282,
Malik Verdon,Iowa State,S,,,6035,218,32.50,9.50,,,,,,,,,,6.30,283,
Konata Mumpfield,Pittsburgh,WR,,,5113,186,29.375,8.50,,4.59,1.54,,,,36.0,1004,6.01,6.40,284,
Tyreem Powell,Rutgers,LB,,,6045,239,34.50,9.00,,,,,,,,,,5.60,285,
Ethan Downs,Oklahoma,EDGE,,,6036,269,31.00,10.50,32,4.69,1.62,,4.59,7.58,34.0,0911,8.64,5.80,286,
Alijah Clark,Syracruse,S,,,6006,188,30.75,9.50,,4.50,1.53,,4.03,6.81,33.0,1002,6.99,5.9,287,
Karene Reid,Utah,LB,,,,,,,,,,,,,,,,6.10,288,
Andrew Armstrong,Arkansas,WR,,,6036,202,32.125,9.50,11,4.51,1.53,,4.18,6.97,37.5,1004,9.06,7.00,289,
Joshua Simon,South Carolina,TE,,,6041,239,33.75,10.125,,4.65,1.58,,4.40,7.22,38.0,1004,8.68,7.40,290,
Roc Taylor,Memphis,WR,,,6017,213,32.25,9.00,,4.49,1.53,,,,30.5,1002,8.55,6.10,291,
Jailin Walker,Indiana,LB,,,6005,218,,,,4.38,,,,,35.0,1007,,,292,
Tommy Akingbesote,Maryland,DL,,,6036,306,33.50,10.00,,5.09,1.77,,,,28.0,0807,6.18,6.20,293,
Bam Martin-Scott,South Carolina,LB,,,6016,231,32.00,8.625,,4.63,1.60,,4.53,7.26,33.5,1002,7.41,6.40,294,
Bryson Nesbit,North Carolina,TE,,,6050,238,31.625,9.50,,4.88,1.61,,,,32.5,0904,3.59,6.70,295,
Jackson Woodard,UNLV,LB,,,6020,234,31.00,9.00,21,,,,,,,,,7.00,296,
Josh Kelly,Texas Tech,WR,,,6005,186,30.75,10.50,,4.70,1.56,,,7.02,33.0,1001,2.55,6.90,297,
Jacolby George,Miami,WR,,,5110,172,31.375,9.50,,,,,,6.77,32.5,1000,,6.70,298,
Carson Bruener,Washington,LB,,,6007,227,31.625,9.25,,4.58,1.57,,,,33.5,0911,8.20,6.40,299,
Elijhah Badger,Florida,WR,,,6013,200,32.375,9.50,,4.43,1.53,,,,35.5,,9.44,6.80,300,
LaJohntay Wester,Colorado,WR,,,5095,163,29.625,8.50,,4.46,1.53,,,,32.0,1001,4.90,6.60,301,
Jordan Watkins,Ole Miss,WR,,,5112,196,29.375,9.125,,4.37,1.53,,,,36.5,0911,8.77,6.50,302,
Isaiah Neyor,Nebraska,WR,,,6042,218,34.375,9.50,,4.40,1.51,,,,38.0,1101,10.00,6.40,303,
Branson Taylor,Pittsburgh,OT,,,6060,321,32.625,9.625,,,,,,,,,,6.20,304,
Marcus Tate,Clemson,OG,,,6052,321,32.625,9.00,,,,,,,,,,6.10,305,
Myles Hinton,Michigan,OT,,,6066,323,34.125,10.25,,,,,4.96,,31.5,,,5.20,306,
Marcus Harris,California,CB,,,5106,189,29.625,8.75,,4.45,1.52,,,,,,,6.20,307,
Ulysses Bentley IV,Ole Miss,RB,,,5097,201,29.00,8.50,,4.62,1.59,,,,32.5,0909,3.65,5.20,308,
Beaux Collins,Notre Dame,WR,,,6030,201,31.50,9.50,,,,,,,,,,5.80,309,
Power Echols,North Carolina,LB,,,5111,237,30.50,9.125,,4.73,1.59,,4.56,7.60,37.0,0907,4.64,6.00,310,
Joe Huber,Wisconsin,OG,,,6051,310,32.25,9.625,,5.20,1.80,,4.78,7.69,28.0,0810,8.84,6.30,311,
Daniel Jackson,Minnesota,WR,,,5106,193,30.625,9.00,,,,,4.07,6.78,,,,6.60,312,
Montrell Johnson Jr.,Florida,RB,,,5113,212,30.625,9.25,,4.41,1.55,,4.29,,35.5,1003,9.56,5.20,313,
Steve Linton,Baylor,EDGE,,,6036,242,34.25,9.00,21,,,,,,32.5,1004,6.13,6.00,314,
Jahvaree Ritzie,North Carolina,DL,,,6042,294,33.25,10.25,26,,,,,,35.5,0906,,6.10,315,
Payton Page,Clemson,DL,,,6032,290,31.375,10.00,,,,,,,33.0,0908,,5.80,316,
Robbie Ouzts,Alabama,TE,,,6030,274,31.25,9.625,26,4.91,1.64,,4.45,7.34,34.0,0911,5.6,5.80,317,
Moliki Matavao,UCLA,TE,,,6055,260,32.50,9.50,,4.81,1.60,,,,32.5,0906,7.58,6.20,318,
Kain Medrano,UCLA,LB,,,6024,222,32.00,9.125,,4.46,,,,,38.0,1005,9.72,5.80,319,
Sean Martin,West Virginia,EDGE,,,6054,293,35.00,10.50,28,4.88,1.70,,,7.38,28.5,0904,6.79,5.30,320,
DeAndre Jules,South Carolina,DL,,,6035,316,34.25,8.625,,,,,,,,,,5.20,321,
Que Robinson,Alabama,EDGE,,,6042,243,33.50,9.50,,,,,,,,,,5.20,322,
Elijah Simmons,Tennessee,DL,,,6010,334,32.625,10.25,,5.37,1.88,,,,32.0,0810,3.49,5.20,323,
