Name,School,Position,Drafted By,Age on Draft Day,Height (FIIE),Weight (lbs.),Arm Length (inches),Hand Span (inches),Bench Press (reps),40-yard Dash (seconds),10-yard Split (seconds),20-yard Split (seconds),20-yard Shuttle (seconds),Three-cone Drill (seconds),Vertical Jump (inches),Broad Jump (FFII),RAS,Production,Ranking,
Tyleik Williams,Ohio State,DL,,22.2,6027,334,32.00,10.25,,,,,,,,,,8.00,52,
Darien Porter,Iowa State,CB,,24.3,6027,195,31.125,9.00,,4.30,1.51,2.54,4.04,6.71,36.5,1011,9.99,6.50,53,
J.T. Tuimoloau,Ohio State,EDGE,,22.0,6042,265,33.625,10.50,,,,,,,,,,8.20,54,
Alfred Collins,Texas,DL,,23.5,6055,332,34.50,10.00,,,,,,,26.0,0800,,7.40,55,
Aireontae Ersery,Minnesota,OT,,,6060,331,33.125,9.50,25,5.01,1.74,2.88,4.82,7.81,29.5,0903,9.36,7.50,56,
Xavier Watts,Notre Dame,S,,23.4,5116,204,31.125,8.50,,,,,,,,,,7.8,57,
Jonah Savaiinaea,Arizona,OT,,,6041,324,33.75,10.25,,4.95,1.72,2.87,4.66,,29.0,0810,9.11,6.60,58,
Shavon Revel Jr,East Carolina,CB,,23.0,6017,194,32.50,9.50,,,,,,,,,,7.60,59,
T.J. Sanders,South Carolina,DL,,21.7,6037,297,33.125,10.25,,,,,4.67,7.70,31.5,0904,8.54,7.60,60,
Princely Umanmielen,Ole Miss,EDGE,,23.0,6043,244,33.875,9.625,,4.72,1.61,2.73,4.46,7.33,38.0,1006,8.89,8.00,61,
Elic Ayomanor,Stanford,WR,,21.9,6016,206,32.375,10.00,,4.44,1.56,2.59,,,38.5,1007,9.78,7.30,62,
Jayden Higgins,Iowa State,WR,,22.4,6041,214,33.125,9.125,,4.47,1.54,2.62,,,39.0,1008,9.92,7.80,63,
Jack Sawyer,Ohio State,EDGE,,23.0,6042,260,31.625,9.625,,,,,,,,,,7.40,64,
Tre Harris,Ole Miss,WR,,23.2,6023,205,31.75,9.50,,4.54,1.57,2.65,,,38.5,1005,9.19,7.60,65,
Jordan Burch,Oregon,EDGE,,23.5,6041,279,33.00,9.50,,4.67,1.65,2.75,,,,,,7.00,66,
Jack Bech,TCU,WR,,23.2,6012,214,31.50,9.00,,,,,4.21,6.84,34.5,1005,9.46,6.80,67,
Omarr Norman-Lott,Tennessee,DL,,23.1,6017,291,33.625,10.625,,,,,,,31.5,0905,,6.70,68,
Cameron Williams,Texas,OT,,21.5,6056,317,34.50,11.375,,,,,,,,,,7.10,69,
Deone Walker,Kentucky,DL,,21.1,6073,331,34.25,10.50,,,,,,,25.0,0808,,7.70,70,
Jalen Royals,Utah State,WR,,22.2,6000,205,30.125,9.50,13,4.42,1.53,2.56,,,,,9.23,7.60,71,
Dylan Sampson,Tennessee,RB,,20.6,5081,200,30.50,8.625,13,,,,,,35.0,1004,,7.80,72,
Harold Fannin Jr,Bowling Green,TE,,20.8,6032,241,32.25,9.25,22,4.71,1.66,2.75,4.39,6.97,34.0,0910,7.65,9.00,73,
Jalen Milroe,Alabama,QB,,22.4,6017,217,30.50,9.375,,,,,,,,,,7.50,74,
Bradyn Swinson,LSU,EDGE,,,6035,255,33.375,9.75,,,,,4.33,7.13,,,,7.20,75,
Jaylin Noel,Iowa State,WR,,,5102,194,29.50,8.625,23,4.39,1.52,2.55,4.17,6.82,41.5,1102,9.72,8.00,76,
Kyle Kennard,South Carolina,EDGE,,23.4,6040,254,34.00,9.625,23,4.73,1.63,2.74,,,,,8.47,7.50,77,
Tate Ratledge,Georgia,OG,,24.0,6064,308,32.25,10.375,,4.97,1.72,2.89,,7.38,32.0,0905,9.98,7.60,78,
Ozzy Trapilo,Boston College,OT,,,6081,316,33.00,10.375,22,5.21,1.76,2.98,4.70,7.71,,0810,8.85,6.40,79,
Tez Johnson,Oregon,WR,,22.9,5097,154,29.375,9.00,,4.51,1.58,2.66,4.15,6.65,37.0,1011,7.18,7.40,80,
Jared Wilson,Georgia,C,,21.9,6030,310,32.375,10.625,,4.84,1.71,2.86,4.56,,32.0,0904,9.98,8.20,81,
Jared Ivey,Ole Miss,EDGE,,23.4,6057,274,33.50,9.125,,,,,,,,,,6.80,82,
Andrew Mukuba,Texas,S,,22.4,5112,186,30.00,9.00,,4.45,1.57,2.60,,,,,,7.2,83,
Shemar Turner,Texas A&M,DL,,22.3,6031,290,33.50,10.25,,,,,,,,,,7.10,84,
Jordan Phillips,Maryland,DL,,,6015,312,31.50,9.625,29,,,,4.65,8.19,31.0,0900,6.68,5.60,85,
Wyatt Milum,West Virginia,OG,,23.3,6064,313,32.125,10.25,,5.27,1.83,3.08,4.69,,30.0,0900,8.91,8.10,86,
Josaiah Stewart,Michigan,EDGE,,22.0,6010,249,31.75,9.50,,,,,,,,,,8.10,87,
Cam Skattebo,Arizona State,RB,,23.2,5094,219,29.75,9.375,,,,,,,39.5,1003,,9.30,88,
Isaiah Bond,Texas,WR,,21.1,5105,180,30.50,8.50,,4.39,1.58,2.60,,,,,,6.50,89,
Will Howard,Ohio State,QB,,23.6,6042,236,32.00,9.00,,,,,4.33,7.13,31.5,0904,8.75,7.30,90,
Gunnar Helm,Texas,TE,,22.6,6050,241,32.625,9.75,,4.84,1.70,2.84,4.40,7.15,30.0,,4.16,8.00,91,
Quinn Ewers,Texas,QB,,22.1,6021,214,30.675,9.375,,,,,,,,,,6.90,92,
Aeneas Peebles,Virginia Tech,DL,,23.6,6004,282,31.375,9.625,,4.94,1.74,2.89,4.70,,32.5,0901,7.00,6.60,93,
Savion Williams,TCU,WR,,23.4,6037,222,32.50,10.25,,4.48,1.53,2.54,,,,,,7.20,94,
Kevin Winston Jr.,Penn State,S,,21.4,6014,215,32.50,9.50,,,,,,,,,,6.0,95,
Xavier Restrepo,Miami,WR,,23.0,5097,209,29.375,9.125,17,,,,,,,,,7.40,96,
Terrance Ferguson,Oregon,TE,,22.2,6053,247,32.75,9.25,,4.63,1.61,2.67,,,39.0,1002,9.84,7.50,97,
Chris Paul Jr,Ole Miss,LB,,22.5,6007,222,29.75,9.375,,4.63,1.58,2.69,,,36.0,0909,7.42,7.10,98,
Barrett Carter,Clemson,LB,,22.5,6001,231,32.125,9.25,22,4.64,1.59,,4.41,,34.5,0908,6.97,7.20,99,
Cobee Bryant,Kansas,CB,,,6000,180,31.25,9.25,,4.53,1.56,2.60,,,,,,7.70,100,
CJ West,Indiana,DL,,,6011,316,31.50,9.625,28,4.95,1.73,2.87,,,33.0,,9.14,6.60,101,
Ashton Gillotte,Louisville,EDGE,,,6025,264,31.875,8.50,24,,,,,,36.5,1000,,7.20,102,
Ollie Gordon II,Oklahoma State,RB,,21.3,6013,226,32.625,9.50,,4.61,1.62,2.72,,,34.5,1000,7.42,7.10,103,
